tempo_arduino_us,tempo_relogio_pc,contador,ax,ay,az,gx,gy,gz
17877436.0,366154.3017277,1684.0,1.0,-0.01,-0.04,-3.84,0.3,-0.24
17882164.0,366154.3488592,1685.0,1.0,-0.01,-0.04,-3.48,-0.18,-0.18
17886888.0,366154.4414183,1686.0,1.0,-0.01,-0.04,-3.35,0.24,-0.61
17891620.0,366154.4451878,1687.0,1.0,-0.01,-0.04,-3.41,0.24,-0.24
17896344.0,366154.4936903,1688.0,1.01,-0.0,-0.04,-3.35,0.18,-0.43
17901080.0,366154.5457492,1689.0,1.0,-0.01,-0.04,-3.66,0.18,-0.18
17905808.0,366154.5900137,1690.0,1.0,-0.0,-0.04,-3.72,-0.06,-0.3
17910512.0,366154.6830023,1691.0,1.0,-0.01,-0.04,-3.78,0.12,-0.3
17915236.0,366154.7269213,1692.0,1.0,-0.01,-0.04,-3.41,0.43,-0.24
17919968.0,366154.7774791,1693.0,1.0,-0.0,-0.05,-3.78,0.61,-0.3
17924692.0,366154.8278501,1694.0,1.0,-0.01,-0.04,-3.6,0.3,-0.24
17929408.0,366154.8726846,1695.0,1.0,-0.01,-0.04,-3.72,0.12,-0.49
17934128.0,366154.9243881,1696.0,1.0,-0.01,-0.04,-3.35,0.24,-0.43
17938852.0,366154.9752309,1697.0,1.0,-0.0,-0.05,-3.41,0.18,-0.43
17943580.0,366155.0220967,1698.0,1.0,-0.0,-0.04,-3.6,0.0,-0.24
17948232.0,366155.0706943,1699.0,1.0,-0.01,-0.04,-3.6,0.24,-0.43
17952948.0,366155.1181775,1700.0,1.0,-0.0,-0.04,-3.6,0.24,-0.43
17957648.0,366155.1665106,1701.0,1.0,-0.01,-0.04,-3.78,0.61,-0.37
17962384.0,366155.260381,1702.0,1.0,-0.0,-0.04,-3.6,0.12,-0.18
17967096.0,366155.2624419,1703.0,1.0,-0.01,-0.04,-3.72,0.18,-0.3
17971820.0,366155.3561614,1704.0,1.0,-0.0,-0.04,-3.41,0.06,-0.49
17976548.0,366155.4013205,1705.0,1.0,-0.01,-0.04,-3.41,0.37,0.0
17981212.0,366155.4527578,1706.0,1.0,0.0,-0.04,-3.6,0.12,-0.67
17985904.0,366155.5000683,1707.0,1.0,-0.0,-0.04,-3.6,0.37,-0.37
17990616.0,366155.5495924,1708.0,1.0,-0.0,-0.04,-3.66,0.06,-0.43
